::1 - - [16/Mar/2018:03:16:29 +0000] "GET /Admins/fetchuser HTTP/1.1" 500 1995 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::1 - - [16/Mar/2018:03:18:14 +0000] "GET /Admins/fetchuser HTTP/1.1" 200 161 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::1 - - [21/Mar/2018:03:28:00 +0000] "GET /Admins/fetchuser HTTP/1.1" 200 161 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::1 - - [21/Mar/2018:03:28:00 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8000/Admins/fetchuser" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::1 - - [21/Mar/2018:07:18:23 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::1 - - [21/Mar/2018:07:18:23 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8000/Admins/fetchuser" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::1 - - [21/Mar/2018:07:22:20 +0000] "GET /Admins/fetchuser HTTP/1.1" 200 291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::ffff:127.0.0.1 - - [22/Mar/2018:06:18:46 +0000] "GET /Admins/fetchuser HTTP/1.1" 200 291 "-" "okhttp/3.9.1"
::1 - - [22/Mar/2018:06:19:08 +0000] "GET /Admins/fetchuser HTTP/1.1" 200 291 "-" "PostmanRuntime/7.1.1"
::1 - - [22/Mar/2018:06:25:41 +0000] "GET /Admins/fetchuser HTTP/1.1" 200 291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
::1 - - [22/Mar/2018:06:25:41 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8000/Admins/fetchuser" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
::ffff:127.0.0.1 - - [22/Mar/2018:06:31:41 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [22/Mar/2018:07:11:43 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [22/Mar/2018:07:27:05 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::1 - - [22/Mar/2018:07:45:45 +0000] "GET /Admins/fetchuser HTTP/1.1" 200 291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
::ffff:127.0.0.1 - - [22/Mar/2018:07:49:00 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [22/Mar/2018:07:55:04 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [22/Mar/2018:07:56:45 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::1 - - [23/Mar/2018:03:42:40 +0000] "GET /Admins/fetchuser HTTP/1.1" 200 291 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
::1 - - [23/Mar/2018:03:42:40 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8000/Admins/fetchuser" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
::ffff:127.0.0.1 - - [23/Mar/2018:03:48:28 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:03:48:45 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:03:48:57 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:03:52:57 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:03:53:16 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:03:56:35 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:03:56:40 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:04:06:12 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:04:06:24 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:04:30:59 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
::ffff:127.0.0.1 - - [23/Mar/2018:04:33:19 +0000] "GET /Admins/fetchuser HTTP/1.1" 304 - "-" "okhttp/3.9.1"
